ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
pramiracetam,other psychostimulants and nootropics in atc,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
melitracen,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
"atorvastatin, amlodipine and perindopril","hmg coa reductase inhibitors, other combinations","lipid modifying agents, combinations",lipid modifying agents,cardiovascular system drugs
lumiracoxib,coxibs,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
cefepime and amikacin,combinations of antibacterials,combinations of antibacterials,antibacterials for systemic use,antiinfectives for systemic use
fenoxazoline,"sympathomimetics, plain",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
halcinonide,"corticosteroids, very potent (group iv)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
idrocilamide,other topical products for joint and muscular pain in atc,topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
paraoxon,"parasympathomimetics, antiglaucoma preparations and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
zotepine,other antipsychotics in atc,antipsychotics,psycholeptics,nervous system drugs
valsartan and sacubitril,"angiotensin ii antagonists, other combinations","angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
selenium (75se) tauroselcholic acid,other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals in atc,hepatic and reticulo endothelial system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
desipramine,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
ergocalciferol,vitamin d and analogues,"vitamin a and d, incl. combinations of the two",vitamins,alimentary tract and metabolism drugs
obinutuzumab,"monoclonal antibodies, antineoplastic",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
"zoledronic acid, calcium and colecalciferol, sequential","bisphosphonates, combinations affecting bone structure and mineralization",drugs affecting bone structure and mineralization,drugs for treatment of bone diseases,musculo-skeletal system drugs
"theophylline, combinations with psycholeptics","xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
sofosbuvir and ledipasvir,antivirals for treatment of hcv infections,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
clioquinol,quinoline gynecological antiinfectives,"antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
formocortal,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
cyanocobalamin tannin complex,vitamin b12 (cyanocobalamin and analogues),vitamin b12 and folic acid,antianemic preparations,blood and blood forming organ drugs
clobutinol,other cough suppressants in atc,"cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
butaperazine,"phenothiazines with piperazine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
fazadinium bromide,"other quaternary ammonium compounds in atc, muscle relaxants, peripherally acting","muscle relaxants, peripherally acting agents",muscle relaxants,musculo-skeletal system drugs
antithrombin iii,heparin group antithrombotic drugs,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
terbutaline,"selective beta-2-adrenoreceptor agonists, systemic",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs
molsidomine,other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
"rabies, inactivated, whole virus",rabies vaccines,viral vaccines,vaccines,antiinfectives for systemic use
"stavudine, lamivudine and nevirapine","antivirals for treatment of hiv infections, combinations",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
defibrotide,other antithrombotic agents in atc,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
magnesium citrate,"magnesium supplements, alimentary tract and metabolism",other mineral supplements in atc,mineral supplements,alimentary tract and metabolism drugs
clotrimazole,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
etofibrate,"fibrates, lipid modifying drugs, plain","lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
"bietaserpine, combinations","rauwolfia alkaloids, centrally acting antiadrenergic","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
vincristine,"vinca alkaloids and analogues, antineoplastic","plant alkaloids and other natural products, antineoplastic drugs",antineoplastic agents,antineoplastic and immunomodulating agents
dixanthogen,sulfur containing product ectoparasiticides,"ectoparasiticides, incl. scabicides","ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
magnesium carbonate,antacids containing magnesium compounds,antacids,drugs for acid related disorders,alimentary tract and metabolism drugs
iodine (131i) norcholesterol,iodine i-131 diagnostic radiopharmaceuticals,other diagnostic radiopharmaceuticals in atc,diagnostic radiopharmaceuticals,various drug classes in atc
stramoni preparations,anticholinergics inhalants for obstructive airway diseases,"other drugs for obstructive airway diseases, inhalants in atc",drugs for obstructive airway diseases,respiratory system drugs
telmisartan and amlodipine,angiotensin ii antagonists and calcium channel blockers,"angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
trofosfamide,nitrogen mustard analogues,alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents
losartan,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
phenyl salicylate,other urologicals in atc,urologicals,urologicals,genito urinary system and sex hormones
pirenzepine,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord) in atc,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
nifenazone,"pyrazolones, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
technetium (99mtc) pentetic acid,"technetium 99m compounds, renal system diagnostic radiopharmaceuticals",renal system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
quinapril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
irbesartan,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
isoetarine,"selective beta-2-adrenoreceptor agonists, systemic",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs
talampicillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
"neostigmine, combinations",anticholinesterase parasympathomimetics,parasympathomimetics,other nervous system drugs in atc,nervous system drugs
acetohexamide,sulfonylureas for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
hetacillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
short-acting sulfonamide combinations,short-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
desvenlafaxine,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
hemoglobin glutamer (bovine),blood substitutes and plasma protein fractions,blood and related products,blood substitutes and perfusion solutions,blood and blood forming organ drugs
carbamide,"carbamide products, emollients and protectives",emollients and protectives,emollients and protectives,dermatologicals
tenofovir disoproxil,nucleoside and nucleotide reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
combinations of barbiturates,"barbiturates, combinations",hypnotics and sedatives,psycholeptics,nervous system drugs
fosinopril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
human menopausal gonadotrophin,gonadotropins,gonadotropins and other ovulation stimulants,sex hormones and modulators of the genital system,genito urinary system and sex hormones
riboflavin,other plain vitamin preparations in atc,other plain vitamin preparations in atc,vitamins,alimentary tract and metabolism drugs
morniflumate,"other antiinflammatory and antirheumatic agents, non-steroids in atc","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
vortioxetine,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
"trifluridine, combinations","pyrimidine analogues, antineoplastic antimetabolites",antimetabolites,antineoplastic agents,antineoplastic and immunomodulating agents
naproxen,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
diclofenac,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
phthalylsulfathiazole,"sulfonamides, intestinal antiinfectives",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
"metamizole sodium, combinations excl. psycholeptics","pyrazolones, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
trifluoperazine,"phenothiazines with piperazine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
"methylpentynol, combinations","hypnotics and sedatives in combination, excl. barbiturates",hypnotics and sedatives,psycholeptics,nervous system drugs
ecallantide,drugs used in hereditary angioedema,other hematological agents in atc,other hematological agents in atc,blood and blood forming organ drugs
armodafinil,centrally acting sympathomimetics,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
enema combinations,enema for constipation,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
acetarsol,"arsenic compounds, for leishmaniasis and trypanosomiasis",agents against leishmaniasis and trypanosomiasis,antiprotozoals,"antiparasitic products, insecticides and repellents"
prazosin and diuretics,alpha-adrenoreceptor antagonists and diuretics,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
dithranol,"antracen derivatives, topical antipsoriatics",antipsoriatics for topical use,antipsoriatics,dermatologicals
choline theophyllinate,"xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
benzatropine,"ethers of tropine or tropine derivatives, anticholinergic",anticholinergic agents,anti-parkinson drugs,nervous system drugs
risperidone,other antipsychotics in atc,antipsychotics,psycholeptics,nervous system drugs
natamycin,"antifungal antibiotics, topical",antifungals for topical use,antifungals for dermatological use,dermatologicals
caries prophylactic agent combinations,caries prophylactic agents,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
vandetanib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
magnesium chloride,"magnesium supplements, alimentary tract and metabolism",other mineral supplements in atc,mineral supplements,alimentary tract and metabolism drugs
ethacridine lactate,"acridine derivatives, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
fentiazac,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
methylprednisolone aceponate,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
emicizumab,other systemic hemostatics in atc,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs
tramazoline,"sympathomimetics, plain",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
diosmectite,other intestinal adsorbents in atc,intestinal adsorbents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
zolpidem,benzodiazepine related hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs
zoledronic acid,bisphosphonate drugs affecting bone structure and mineralization,drugs affecting bone structure and mineralization,drugs for treatment of bone diseases,musculo-skeletal system drugs
fampridine,other nervous system drugs in atc,other nervous system drugs in atc,other nervous system drugs in atc,nervous system drugs
hydrocortisone and antiseptics,"corticosteroids, weak, combinations with antiseptics","corticosteroids, combinations with antiseptics","corticosteroids, dermatological preparations",dermatologicals
diisopromine,other drugs for functional gastrointestinal disorders in atc,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
bumadizone,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
morclofone,other cough suppressants in atc,"cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
obeticholic acid,bile acids and derivatives for bile therapy,bile therapy drugs,bile and liver therapy drugs,alimentary tract and metabolism drugs
"indometacin, combinations",acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
dihydralazine and diuretics,hydrazinophthalazine derivatives and diuretics,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
lincomycin,lincosamides,"macrolides, lincosamides and streptogramins",antibacterials for systemic use,antiinfectives for systemic use
imolamine,other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
valnoctamide,other hypnotics and sedatives in atc,hypnotics and sedatives,psycholeptics,nervous system drugs
praziquantel,"quinoline derivatives and related substances, antitrematodals",antitrematodals,anthelmintics,"antiparasitic products, insecticides and repellents"
topotecan,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
sultiame,other antiepileptics in atc,antiepileptics,antiepileptics,nervous system drugs
benfotiamine,"vitamin b1, plain","vitamin b1, plain and in combination with vitamin b6 and b12",vitamins,alimentary tract and metabolism drugs
"measles, combinations with mumps, rubella and varicella, live attenuated",measles vaccines,viral vaccines,vaccines,antiinfectives for systemic use
methylphenidate,centrally acting sympathomimetics,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
"sodium lauryl sulfoacetate, incl. combinations",enema for constipation,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
nomegestrol,"pregnadien derivatives, progestogens",progestogen sex hormones and modulators of the genital system,sex hormones and modulators of the genital system,genito urinary system and sex hormones
pentoxifylline,"purine derivatives, peripheral vasodilators",peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs
tioclomarol,vitamin k antagonists,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
various antiseptic throat preparations,antiseptic throat preparations,throat preparations,throat preparations,respiratory system drugs
insulin (human),"insulins and analogues for injection, intermediate-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
pseudoephedrine,sympathomimetics,nasal decongestants for systemic use,nasal preparations,respiratory system drugs
mephenoxalone,other anxiolytics in atc,anxiolytics,psycholeptics,nervous system drugs
tolrestat,aldose reductase inhibitors used in diabetes,other drugs used in diabetes in atc,drugs used in diabetes,alimentary tract and metabolism drugs
erlotinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
cepeginterferon alfa-2b,interferons,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
estazolam,benzodiazepine derivative hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs
bromperidol,"butyrophenone derivatives, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
fenticonazole,"imidazole derivatives, gyncological antiinfectives","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
estriol,"natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones
chlorhexidine,antiinfective irrigating solutions,"irrigating solutions, blood substitutes and perfusion",blood substitutes and perfusion solutions,blood and blood forming organ drugs
evogliptin,dipeptidyl peptidase 4 (dpp-4) inhibitors for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
normethadone,"opium alkaloids and derivatives, cough suppressants","cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
magnesium sulfate,electrolyte solutions,i.v. solution additives,blood substitutes and perfusion solutions,blood and blood forming organ drugs
oxyquinoline,"quinoline derivatives, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
luliconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
fluanisone,"butyrophenone derivatives, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
coagulation factor xiii,blood coagulation factors,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs
isoconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
azelastine,"antiallergic nasal preparations for topical use, excl. corticosteroids",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
miconazole,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
parathyroid hormone,parathyroid hormones and analogues,parathyroid hormones and analogues,calcium homeostasis,"systemic hormonal preparations, excl. sex hormones and insulins"
expectorant combinations excluding combinations with cough suppressants,expectorants,"expectorants, excl. combinations with cough suppressants",cough and cold preparations,respiratory system drugs
lynestrenol and ethinylestradiol,"progestogens and estrogens systemic contraceptives, sequential preparations",hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
measles immunoglobulin,specific immunoglobulins,immunoglobulins,immune sera and immunoglobulins,antiinfectives for systemic use
4-aminosalicylic acid,aminosalicylic acid and derivatives,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use
ceftolozane and beta-lactamase inhibitor,other cephalosporins and penems in atc,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
acebutolol and thiazides,"beta blocking agents, selective, and thiazides",beta blocking agents and thiazides,beta-adrenergic blocking agents,cardiovascular system drugs
timolol,"beta blocking agents, antiglaucoma preparations and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
alteplase,"enzymes, antithrombotic",antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
"simvastatin, acetylsalicylic acid and ramipril","hmg coa reductase inhibitors, other combinations","lipid modifying agents, combinations",lipid modifying agents,cardiovascular system drugs
hydroxyethylstarch,blood substitutes and plasma protein fractions,blood and related products,blood substitutes and perfusion solutions,blood and blood forming organ drugs
tiocarlide,thiocarbamide derivatives for treatment of tuberculosis,drugs for treatment of tuberculosis,antimycobacterials,antiinfectives for systemic use
other intestinal adsorbent combinations in atc,other intestinal adsorbents in atc,intestinal adsorbents,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
silver compounds,other antiinfectives in atc,antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
sodium aurotiosulfate,gold preparations,specific antirheumatic agents,antiinflammatory and antirheumatic products,musculo-skeletal system drugs
prednisolone and antiseptics,"corticosteroids, weak, combinations with antiseptics","corticosteroids, combinations with antiseptics","corticosteroids, dermatological preparations",dermatologicals
diclofenac,"antiinflammatory agents, non-steroidal, ophthalmologic","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
bretylium tosilate,"antiarrhythmics, class iii","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs
bacampicillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
epitizide and potassium-sparing agents,low-ceiling diuretics and potassium-sparing agents,diuretics and potassium-sparing agents in combination,diuretics,cardiovascular system drugs
"ethenzamide, combinations with psycholeptics","salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
"pantoprazole, amoxicillin and clarithromycin",combinations for eradication of helicobacter pylori,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
tretinoin,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
pregabalin,other antiepileptics in atc,antiepileptics,antiepileptics,nervous system drugs
triamcinolone,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
sulfadicramide,"sulfonamides, ophthalmologic antiinfectives",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
dexamethasone and antibiotics,"corticosteroids, moderately potent, combinations with antibiotics","corticosteroids, combinations with antibiotics","corticosteroids, dermatological preparations",dermatologicals
etohexadiol,other insecticides and repellents in atc,insecticides and repellents,"ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
darunavir,"protease inhibitors, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
pefloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use
metoprolol and ivabradine,"beta blocking agents, other combinations","beta blocking agents, other combinations",beta-adrenergic blocking agents,cardiovascular system drugs
silver nitrate,"silver compounds, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
"tetryzoline, combinations",sympathomimetics used as decongestants,decongestants and antiallergics,ophthalmologicals,sensory organ drugs
tramadol,other opioids in atc,opioid analgesics,analgesics,nervous system drugs
sapropterin,various alimentary tract and metabolism products,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
"antiinfectives, combinations",antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs
"antiinfectives, combinations",antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs
magnesium sulfate,diagnostic agents for bile duct patency testing,other diagnostic agents in atc,diagnostic agents,various drug classes in atc
cefamandole,second-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
fentanyl,"phenylpiperidine derivatives, opioid analgesics",opioid analgesics,analgesics,nervous system drugs
sulfaperin,long-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
necitumumab,"monoclonal antibodies, antineoplastic",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
medrysone,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs
metronidazole,"nitroimidazole derivatives, antiprotozoal agents against amoebiasis and other protozoal diseases",agents against amoebiasis and other protozoal diseases,antiprotozoals,"antiparasitic products, insecticides and repellents"
tacrolimus,calcineurin inhibitors,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
fluoroestradiol (18f),other diagnostic radiopharmaceuticals for tumour detection in atc,tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
visnadine,other peripheral vasodilators in atc,peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs
aluminium nicotinate,"nicotinic acid and derivatives, lipid modifying, plain","lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
remifentanil,opioid anesthetics,"anesthetics, general",anesthetics,nervous system drugs
vasopressin (argipressin),vasopressin and analogues,posterior pituitary lobe hormones,pituitary and hypothalamic hormones and analogues,"systemic hormonal preparations, excl. sex hormones and insulins"
peruvoside,other cardiac glycosides in atc,cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
interferon alfa-2b,interferons,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
anecortave,antineovascularisation agents,ocular vascular disorder agents,ophthalmologicals,sensory organ drugs
triamcinolone,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
procainamide,"antiarrhythmics, class ia","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs
sulfamerazine,"sulfonamides, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
combinations of tetracyclines,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use
bumetanide and potassium,"sulfonamides and potassium in combination, high-ceiling diruetics, excluding thiazides",high-ceiling diuretics,diuretics,cardiovascular system drugs
lorazepam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
dihydroergocryptine mesylate,dopamine agonists,dopaminergic agents,anti-parkinson drugs,nervous system drugs
primaquine,aminoquinoline antimalarials,antimalarials,antiprotozoals,"antiparasitic products, insecticides and repellents"
meptazinol,other opioids in atc,opioid analgesics,analgesics,nervous system drugs
rilpivirine,non-nucleoside reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
etretinate,retinoids for treatment of psoriasis,antipsoriatics for systemic use,antipsoriatics,dermatologicals
tubocurarine,"curare alkaloid muscle relaxants, peripherally acting","muscle relaxants, peripherally acting agents",muscle relaxants,musculo-skeletal system drugs
prednisone,"glucocorticoids, systemic","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins"
idebenone,other psychostimulants and nootropics in atc,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
bromopride,propulsives,propulsives,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
promegestone,"pregnadien derivatives, progestogens",progestogen sex hormones and modulators of the genital system,sex hormones and modulators of the genital system,genito urinary system and sex hormones
dabigatran etexilate,direct thrombin inhibitors,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
glimepiride and rosiglitazone,combinations of oral blood glucose lowering drugs,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
azidocillin,beta-lactamase sensitive penicillins,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
somatrem,somatropin and somatropin agonists,anterior pituitary lobe hormones and analogues,pituitary and hypothalamic hormones and analogues,"systemic hormonal preparations, excl. sex hormones and insulins"
tetrazepam,other centrally acting agents in atc,"muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
desogestrel and ethinylestradiol,"progestogens and estrogen systemic contraceptives, fixed combinations",hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
faldaprevir,antivirals for treatment of hcv infections,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
nadifloxacin,antiinfectives for treatment of acne,anti-acne preparations for topical use,anti-acne preparations,dermatologicals
"timolol, thiazides and other diuretics","beta blocking agents, non-selective, thiazides and other diuretics","beta blocking agents, thiazides and other diuretics",beta-adrenergic blocking agents,cardiovascular system drugs
hydrogen peroxide,other antiseptics and disinfectants in atc,antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
protriptyline,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
valdecoxib,coxibs,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
gamolenic acid,other dermatological preparations in atc,other dermatological preparations in atc,other dermatological preparations in atc,dermatologicals
phenylephrine,sympathomimetics used as decongestants,decongestants and antiallergics,ophthalmologicals,sensory organ drugs
ferric sodium citrate,"iron trivalent, oral antianemic preparations",iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
"chlormezanone, combinations excl. psycholeptics","oxazol, thiazine, and triazine derivatives centrally acting muscle relaxants","muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
"emtricitabine, tenofovir alafenamide and bictegravir","antivirals for treatment of hiv infections, combinations",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
epoprostenol,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
"ramipril, amlodipine and hydrochlorothiazide","ace inhibitors, other combinations in atc","ace inhibitors, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
"valsartan, amlodipine and hydrochlorothiazide","angiotensin ii antagonists, other combinations","angiotensin ii antagonists, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
"chlorobutanol, combinations",other antiemetics in atc,antiemetics and antinauseants,antiemetics and antinauseants,alimentary tract and metabolism drugs
butamirate,other cough suppressants in atc,"cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
